이름,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,홈런,볼넷,고4,사구,삼진,보크,폭투,WHIP,ERA+,FIP+
김이환,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.86,0,163.0
김재영,61.0,0.0,0.0,39.0,11.0,11.0,0.0,1.0,210.2,144.0,131.0,948.0,262.0,26.0,65.0,0.0,28.0,112.0,0.0,7.0,1.55,91.8,91.2
김종수,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,3.0,2.0,52.0,4.0,1.0,10.0,0.0,0.0,12.0,0.0,0.0,1.08,365.9,99.1
김진영,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,13.0,13.0,64.0,18.0,1.0,6.0,0.0,0.0,13.0,0.0,0.0,1.71,62.0,124.6
김진욱,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.2,4.0,4.0,34.0,6.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,1.5,94.7,82.1
문동욱,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.2,10.0,10.0,37.0,13.0,2.0,3.0,0.0,1.0,4.0,0.0,0.0,2.4,37.8,62.5
문재현,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,2.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,9.2,16.0
박상원,107.0,0.0,0.0,0.0,4.0,3.0,0.0,14.0,101.2,33.0,29.0,429.0,96.0,7.0,36.0,1.0,6.0,86.0,0.0,6.0,1.3,197.8,121.8
박윤철,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,5.0,5.0,35.0,7.0,1.0,10.0,0.0,2.0,6.0,0.0,1.0,3.19,53.2,43.1
박주홍,36.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,39.1,38.0,37.0,190.0,50.0,10.0,23.0,0.0,3.0,36.0,2.0,0.0,1.86,59.9,71.5
서균,77.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,56.0,41.0,38.0,259.0,66.0,9.0,22.0,0.0,10.0,35.0,0.0,4.0,1.57,83.3,80.7
서폴드,10.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0,58.2,32.0,28.0,250.0,65.0,2.0,18.0,0.0,1.0,42.0,0.0,4.0,1.42,104.4,125.8
송은범,509.0,1.0,0.0,193.0,79.0,85.0,24.0,38.0,1280.2,730.0,653.0,5721.0,1428.0,127.0,570.0,21.0,62.0,854.0,2.0,93.0,1.56,98.1,96.2
송창식,431.0,1.0,0.0,45.0,43.0,41.0,22.0,51.0,707.1,433.0,417.0,3156.0,707.0,102.0,326.0,14.0,51.0,548.0,3.0,46.0,1.46,87.8,88.7
송창현,61.0,0.0,0.0,31.0,3.0,17.0,0.0,0.0,172.2,115.0,99.0,784.0,171.0,20.0,113.0,2.0,8.0,87.0,2.0,9.0,1.65,97.4,80.4
안영명,451.0,1.0,0.0,95.0,58.0,48.0,16.0,49.0,925.1,548.0,500.0,4126.0,1012.0,137.0,375.0,15.0,64.0,656.0,7.0,31.0,1.5,96.4,89.8
윤규진,413.0,1.0,0.0,66.0,42.0,43.0,30.0,37.0,806.0,493.0,448.0,3617.0,877.0,99.0,389.0,18.0,53.0,660.0,0.0,52.0,1.57,95.0,95.2
이충호,21.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.1,18.0,17.0,67.0,21.0,3.0,12.0,0.0,3.0,8.0,0.0,2.0,2.91,37.2,52.1
이태양,183.0,0.0,0.0,69.0,19.0,31.0,1.0,12.0,486.1,309.0,286.0,2162.0,561.0,78.0,179.0,6.0,23.0,325.0,1.0,18.0,1.52,92.7,85.5
임준섭,107.0,1.0,1.0,42.0,11.0,19.0,0.0,4.0,270.0,182.0,166.0,1237.0,312.0,27.0,160.0,3.0,16.0,138.0,0.0,16.0,1.75,88.0,83.9
장민재,178.0,1.0,0.0,45.0,21.0,21.0,0.0,3.0,398.0,265.0,248.0,1833.0,485.0,50.0,184.0,2.0,14.0,267.0,1.0,26.0,1.68,87.5,91.4
정우람,789.0,0.0,0.0,0.0,59.0,34.0,144.0,129.0,778.2,274.0,252.0,3192.0,600.0,56.0,292.0,29.0,33.0,767.0,1.0,29.0,1.15,153.9,130.3
조지훈,23.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,36.0,26.0,26.0,160.0,32.0,8.0,16.0,0.0,4.0,30.0,1.0,8.0,1.33,74.1,77.1
채드벨,9.0,0.0,0.0,9.0,5.0,3.0,0.0,0.0,54.2,26.0,24.0,236.0,58.0,3.0,23.0,0.0,5.0,44.0,1.0,3.0,1.48,113.5,106.5
황영국,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,60.3,76.8
고영창,26.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.1,15.0,15.0,97.0,26.0,1.0,7.0,0.0,3.0,9.0,0.0,1.0,1.62,74.9,103.3
김기훈,8.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,29.0,24.0,23.0,134.0,22.0,5.0,27.0,0.0,2.0,22.0,0.0,5.0,1.69,62.1,60.7
